ItemNo,Theme,Modality,Complexity,Sentence,AudioFile,Question,Answer,group
5,維修,Read,Complex,雖然壓到鐵釘而報廢的破損輪胎很難處理但是師傅仍正在幫助鄰居更換新輪胎,,輪胎目前是完好的嗎？,否,4
6,醫療,Listen,Complex,儘管急診室非常忙碌但是醫師正在簽署給病患的處方箋,audio_06_C.mp3,是護理師在簽處方箋嗎？,否,1
6,醫療,Read,Simple,醫師簽署護理師等一會兒要開給病患的處方箋,,是護理師在簽處方箋嗎？,否,2
6,醫療,Read,Complex,儘管急診室非常忙碌但是醫師正在簽署給病患的處方箋,,是護理師在簽處方箋嗎？,否,3
6,醫療,Listen,Simple,醫師簽署護理師等一會兒要開給病患的處方箋,audio_06_S.mp3,是護理師在簽處方箋嗎？,否,4
7,圖書館,Read,Simple,管理員整理同學逾期許久才歸還的原文書,,原文書是管理員歸還的嗎？,否,1
7,圖書館,Read,Complex,雖然同學歸還的原文書非常重不過管理員正在盡責整理,,原文書是管理員歸還的嗎？,否,2
7,圖書館,Listen,Simple,管理員整理同學逾期許久才歸還的原文書,audio_07_S.mp3,原文書是管理員歸還的嗎？,否,3
7,圖書館,Listen,Complex,雖然同學歸還的原文書非常重不過管理員正在盡責整理,audio_07_C.mp3,原文書是管理員歸還的嗎？,否,4
8,園藝,Read,Complex,如果爺爺去年在後院栽種的紅玫瑰花叢長得太茂盛那麼園丁伯伯會去修剪,,園丁正在修剪玫瑰嗎？,是,1
8,園藝,Listen,Simple,園丁伯伯正修剪爺爺去年在後院栽種的紅玫瑰花叢,audio_08_S.mp3,園丁正在修剪玫瑰嗎？,是,2
8,園藝,Listen,Complex,如果爺爺去年在後院栽種的紅玫瑰花叢長得太茂盛那麼園丁伯伯會去修剪,audio_08_C.mp3,園丁正在修剪玫瑰嗎？,是,3
8,園藝,Read,Simple,園丁修剪爺爺去年在後院栽種的紅玫瑰,,園丁正在修剪玫瑰嗎？,是,4
9,咖啡廳,Listen,Simple,店員正在打包客人不要加糖也不加奶的雙倍濃縮咖啡,audio_09_S.mp3,店員在打包咖啡嗎？,是,1
9,咖啡廳,Listen,Complex,要是不要糖也不要加奶的特調咖啡製作好了那麼店員就會準備打包給客人,audio_09_C.mp3,店員在打包咖啡嗎？,是,2
9,咖啡廳,Read,Simple,店員正在打包客人不要加糖也不加奶的雙倍濃縮咖啡,,店員在打包咖啡嗎？,是,3
9,咖啡廳,Read,Complex,要是不要糖也不要加奶的特調咖啡製作好了那麼店員就會準備打包給客人,,店員在打包咖啡嗎？,是,4
10,建築,Listen,Complex,如果工程師把藍圖重新繪製完成那麼就會和施工現場的工頭再次確認,audio_10_C.mp3,藍圖是工頭重新繪製的嗎？,否,1
10,建築,Read,Simple,施工現場的工頭確認工程師根據設計草圖繪製的藍圖,,藍圖是工頭重新繪製的嗎？,否,2
10,建築,Read,Complex,如果工程師把藍圖重新繪製完成那麼就會和施工現場的工頭再次確認,,藍圖是工頭重新繪製的嗎？,否,3
10,建築,Listen,Simple,施工現場的工頭確認工程師根據設計草圖重新繪製的新藍圖,audio_10_S.mp3,藍圖是工頭重新繪製的嗎？,否,4
